date,open,close,high,low,volume
2019-01-02,6375.540,6404.640,6439.160,6323.060,3452995.000
2019-01-03,6392.650,6535.180,6680.440,6389.310,5664430.000
2019-01-04,6473.820,6683.220,6686.890,6462.700,5792744.000
2019-01-07,6738.410,6921.220,6956.660,6732.050,7829011.000
2019-01-08,6894.320,6825.040,6897.370,6799.980,5281533.000
2019-01-09,6831.310,6771.900,6874.640,6770.440,4582452.000
2019-01-10,6770.060,6767.940,6818.940,6750.320,3411428.000
2019-01-11,6784.950,6883.110,6891.080,6784.350,3813060.000
2019-01-14,6878.270,6812.770,6894.540,6790.630,2911674.000
2019-01-15,6807.920,6876.580,6878.370,6790.520,2885858.000
2019-01-16,6873.120,6809.410,6895.750,6806.350,3008569.000
2019-01-17,6818.040,6734.330,6824.130,6724.330,2482538.000
2019-01-18,6741.620,6788.710,6791.910,6712.380,2367088.000
2019-01-21,6798.570,6834.960,6857.850,6762.230,2453350.000
2019-01-22,6820.570,6724.370,6820.570,6687.400,2582911.000
2019-01-23,6714.440,6734.940,6744.170,6692.080,1767620.000
2019-01-24,6744.510,6813.820,6848.540,6697.110,3074388.000
2019-01-25,6814.500,6757.900,6826.370,6757.900,2652521.000
2019-01-28,6802.480,6733.410,6839.390,6718.990,2733481.000
2019-01-29,6728.990,6620.180,6728.990,6547.500,2930373.000
2019-01-30,6613.780,6642.770,6721.280,6597.880,2467569.000
2019-01-31,6657.210,6564.840,6657.900,6534.410,2701010.000
2019-02-01,6593.780,6716.830,6717.640,6587.020,2369577.000
2019-02-11,6744.290,6878.300,6878.870,6744.290,2952740.000
2019-02-12,6871.290,6927.810,6944.050,6863.520,3158614.000
2019-02-13,6933.000,7061.420,7085.820,6908.130,5063838.000
2019-02-14,7059.980,7087.250,7122.430,7050.340,3820316.000
2019-02-15,7083.550,7020.450,7114.620,7007.940,3187657.000
2019-02-18,7063.740,7295.300,7295.300,7063.740,5393227.000
2019-02-19,7325.500,7383.030,7383.120,7192.300,6317654.000
2019-02-20,7348.060,7365.380,7429.300,7251.410,6414580.000
2019-02-21,7396.000,7286.440,7500.670,7254.550,7736739.000
2019-02-22,7251.290,7431.540,7432.350,7247.270,5735017.000
2019-02-25,7504.620,7886.500,7914.330,7504.620,11180882.000
2019-02-26,7869.280,7781.440,7933.480,7758.740,9506469.000
2019-02-27,7777.320,7870.440,8093.400,7774.460,10047266.000
2019-02-28,7963.310,7852.800,8006.860,7777.220,6454693.000
2019-03-01,7894.390,7888.220,7907.180,7738.580,6556408.000
2019-03-04,7935.510,8007.440,8103.620,7899.950,10412098.000
2019-03-05,7979.470,8195.120,8197.570,7941.120,10207485.000
2019-03-06,8224.550,8215.080,8263.860,8062.160,9791268.000
2019-03-07,8176.540,8183.920,8265.420,8110.540,9328782.000
2019-03-08,8036.080,7959.050,8298.870,7939.170,11144775.000
2019-03-11,8023.760,8233.070,8233.230,7993.000,8670509.000
2019-03-12,8307.050,8522.570,8557.480,8239.200,12662377.000
2019-03-13,8579.330,8328.290,8726.710,8258.450,11852238.000
2019-03-14,8287.440,8118.340,8322.140,7976.800,8599977.000
2019-03-15,8163.540,8089.510,8196.930,8034.780,6244937.000
2019-03-18,8116.110,8238.900,8239.210,8046.450,6736489.000
2019-03-19,8253.770,8357.630,8428.030,8240.050,8168138.000
2019-03-20,8355.600,8250.070,8355.600,8112.790,6457873.000
2019-03-21,8253.000,8304.890,8353.840,8228.780,6481892.000
2019-03-22,8305.930,8333.800,8344.290,8200.640,6575951.000
2019-03-25,8282.420,8691.150,8890.800,8268.520,18257371.000
2019-03-26,8714.860,8262.430,8717.380,8256.920,13210855.000
2019-03-27,8310.900,8186.680,8336.330,8057.120,7328374.000
2019-03-28,8187.900,8119.880,8353.280,8108.120,6988478.000
2019-03-29,8229.280,8451.650,8452.150,8206.730,10497817.000
2019-04-01,8573.540,8850.670,8868.820,8573.540,13195995.000
2019-04-02,8971.220,8899.170,9131.970,8850.550,16778021.000
2019-04-03,8841.590,8958.630,8988.870,8778.760,11250071.000
2019-04-04,8967.150,8977.270,9044.700,8858.700,11731686.000
2019-04-08,9122.970,8839.720,9153.570,8758.100,11155250.000
2019-04-09,8846.290,8820.530,8860.560,8741.440,7366424.000
2019-04-10,8790.720,8751.810,8816.330,8700.570,7207130.000
2019-04-11,8749.010,8582.340,8795.920,8581.660,6883315.000
2019-04-12,8573.250,8544.660,8586.170,8465.660,5439019.000
2019-04-15,8658.120,8517.370,8749.190,8513.360,6278043.000
2019-04-16,8479.420,8651.190,8651.190,8367.970,6242798.000
2019-04-17,8649.400,8677.620,8727.740,8599.510,5862283.000
2019-04-18,8671.740,8734.980,8819.210,8635.900,8282715.000
2019-04-19,8704.190,8713.940,8726.260,8578.810,6312372.000
