date,open,close,high,low,volume
2019-01-02,4436.750,4408.530,4444.440,4399.590,66272240.000
2019-01-03,4404.310,4376.860,4446.030,4375.860,80494980.000
2019-01-04,4338.060,4497.890,4497.910,4326.330,103470812.000
2019-01-07,4523.230,4594.150,4598.630,4516.000,114553618.000
2019-01-08,4586.830,4585.030,4596.800,4567.290,107411023.000
2019-01-09,4588.690,4594.740,4654.770,4578.450,123173858.000
2019-01-10,4592.740,4582.480,4619.820,4571.090,106482939.000
2019-01-11,4585.220,4621.610,4621.610,4575.640,104124236.000
2019-01-14,4621.700,4594.190,4625.560,4580.540,101738120.000
2019-01-15,4583.550,4644.170,4644.170,4569.140,101562237.000
2019-01-16,4644.230,4637.200,4669.630,4632.070,102219630.000
2019-01-17,4632.270,4595.490,4639.790,4590.310,103440105.000
2019-01-18,4596.250,4626.410,4627.660,4576.770,109175225.000
2019-01-21,4629.790,4655.110,4668.480,4624.650,100076064.000
2019-01-22,4651.030,4603.200,4651.100,4589.370,97121041.000
2019-01-23,4590.690,4609.670,4609.680,4580.620,85172901.000
2019-01-24,4613.930,4635.750,4651.020,4591.800,99056797.000
2019-01-25,4634.060,4607.940,4651.320,4606.870,99927190.000
2019-01-28,4629.430,4570.400,4640.620,4565.790,90487999.000
2019-01-29,4557.810,4490.050,4558.050,4419.400,96718036.000
2019-01-30,4464.800,4423.140,4492.660,4422.360,74488978.000
2019-01-31,4408.110,4355.740,4441.420,4328.920,94572194.000
2019-02-01,4369.270,4482.990,4482.990,4369.270,77712659.000
2019-02-11,4497.530,4611.830,4611.830,4497.530,92672577.000
2019-02-12,4611.850,4675.790,4685.130,4604.100,112331012.000
2019-02-13,4679.690,4759.830,4766.180,4672.780,136305865.000
2019-02-14,4758.510,4780.040,4801.090,4741.520,122835601.000
2019-02-15,4772.980,4773.510,4805.800,4763.760,125212371.000
2019-02-18,4805.330,4942.880,4942.880,4805.330,164851885.000
2019-02-19,4964.220,4963.750,4988.260,4897.230,192358065.000
2019-02-20,4958.890,4967.040,4971.130,4906.630,165216070.000
2019-02-21,4957.630,4947.660,5046.620,4930.970,190944300.000
2019-02-22,4935.440,5059.510,5059.510,4932.200,178598982.000
2019-02-25,5129.470,5324.250,5324.520,5120.470,279811989.000
2019-02-26,5335.380,5323.760,5438.880,5273.900,301079738.000
2019-02-27,5312.560,5310.270,5391.870,5245.410,249461989.000
2019-02-28,5306.200,5330.340,5370.210,5291.980,200466406.000
2019-03-01,5344.420,5364.370,5364.370,5286.000,178938607.000
2019-03-04,5418.710,5482.300,5562.200,5418.270,273202346.000
2019-03-05,5470.700,5654.310,5654.310,5451.290,268062367.000
2019-03-06,5694.900,5776.970,5776.980,5625.340,322771413.000
2019-03-07,5775.300,5877.300,5928.610,5750.050,329260507.000
2019-03-08,5736.930,5633.320,5913.030,5633.290,328703794.000
