date,open,close,high,low,volume
2019-01-02,1250.620,1228.770,1251.230,1226.870,37899531.000
2019-01-03,1226.740,1214.500,1240.290,1213.870,46874281.000
2019-01-04,1203.670,1245.160,1246.390,1201.800,57771140.000
2019-01-07,1250.400,1268.060,1270.360,1244.820,63864037.000
2019-01-08,1262.200,1263.510,1270.430,1258.570,59502582.000
2019-01-09,1263.730,1262.520,1285.310,1258.620,67379457.000
2019-01-10,1262.100,1258.990,1270.660,1255.740,60079139.000
2019-01-11,1260.000,1261.560,1266.670,1252.300,57687061.000
2019-01-14,1263.020,1246.000,1264.040,1243.530,56699158.000
2019-01-15,1243.930,1266.270,1267.650,1238.590,58126895.000
2019-01-16,1267.140,1267.300,1277.270,1262.270,55111235.000
2019-01-17,1267.820,1251.410,1267.820,1251.150,51818064.000
2019-01-18,1255.600,1269.500,1270.000,1248.850,50640530.000
2019-01-21,1271.390,1274.790,1283.140,1266.800,51088753.000
2019-01-22,1273.470,1252.240,1273.470,1247.450,47440492.000
2019-01-23,1250.830,1251.130,1255.410,1244.940,41704004.000
2019-01-24,1252.380,1265.160,1272.490,1248.060,50755540.000
2019-01-25,1266.630,1265.490,1276.990,1261.410,51347193.000
2019-01-28,1272.370,1259.740,1279.820,1257.530,51305174.000
2019-01-29,1259.800,1243.590,1259.800,1229.480,51543345.000
2019-01-30,1238.280,1230.820,1248.960,1230.820,41711934.000
2019-01-31,1231.000,1227.990,1243.590,1220.950,52366207.000
2019-02-01,1233.380,1271.270,1272.190,1233.380,46354210.000
2019-02-11,1275.220,1316.100,1319.180,1274.730,52224416.000
2019-02-12,1316.910,1332.270,1336.140,1314.910,58697467.000
2019-02-13,1335.160,1357.670,1362.640,1333.110,72372681.000
2019-02-14,1357.780,1361.940,1369.780,1349.470,67547726.000
2019-02-15,1360.760,1357.840,1371.960,1355.780,68019638.000
2019-02-18,1364.940,1413.600,1413.770,1364.940,91472143.000
2019-02-19,1419.040,1406.040,1427.140,1391.570,102824505.000
2019-02-20,1406.990,1408.380,1417.890,1387.900,85928762.000
2019-02-21,1405.520,1412.540,1452.390,1401.770,106419625.000
2019-02-22,1409.860,1456.300,1456.300,1407.290,98390321.000
2019-02-25,1487.300,1536.370,1538.160,1481.170,146336606.000
2019-02-26,1549.240,1546.990,1581.830,1532.440,154548729.000
2019-02-27,1544.160,1520.420,1555.590,1503.680,122573201.000
2019-02-28,1522.630,1535.680,1549.330,1519.760,98043519.000
2019-03-01,1558.900,1567.870,1568.320,1532.450,93850278.000
2019-03-04,1596.550,1619.710,1651.010,1593.260,139956931.000
2019-03-05,1615.590,1676.570,1676.570,1613.500,141562275.000
2019-03-06,1684.970,1700.500,1704.100,1661.010,162408735.000
2019-03-07,1699.600,1692.420,1719.150,1666.370,164515686.000
2019-03-08,1647.850,1654.490,1718.380,1635.450,170862330.000
2019-03-11,1673.400,1727.800,1728.330,1656.140,148764384.000
2019-03-12,1733.430,1773.430,1789.160,1733.430,175565483.000
2019-03-13,1769.550,1693.860,1769.550,1682.360,152889685.000
2019-03-14,1676.610,1650.190,1700.520,1628.640,118466693.000
2019-03-15,1667.780,1662.620,1685.080,1642.700,98734441.000
2019-03-18,1671.280,1707.060,1707.060,1652.880,95332936.000
2019-03-19,1706.190,1708.870,1730.350,1693.540,98553411.000
2019-03-20,1701.730,1687.900,1705.590,1654.300,100299384.000
2019-03-21,1683.550,1703.850,1716.450,1677.650,117792895.000
2019-03-22,1703.970,1693.870,1703.970,1660.330,100370135.000
2019-03-25,1662.760,1668.840,1695.090,1658.450,104375725.000
2019-03-26,1680.780,1630.190,1684.360,1627.230,104600710.000
2019-03-27,1640.210,1637.770,1645.560,1616.600,87928097.000
2019-03-28,1632.040,1626.820,1659.940,1624.010,86193706.000
2019-03-29,1633.380,1693.550,1693.550,1628.740,100114564.000
2019-04-01,1710.160,1760.890,1766.370,1710.160,121650996.000
2019-04-02,1771.690,1754.160,1774.980,1747.440,131529823.000
2019-04-03,1743.990,1768.180,1769.760,1739.140,111334596.000
2019-04-04,1780.280,1777.260,1784.470,1761.050,115917091.000
2019-04-08,1787.960,1739.660,1792.030,1720.000,119082024.000
2019-04-09,1734.180,1741.170,1753.520,1721.320,98511499.000
2019-04-10,1727.970,1726.640,1740.850,1714.640,116036255.000
2019-04-11,1727.220,1691.100,1732.610,1688.100,103545437.000
2019-04-12,1692.430,1695.730,1702.350,1683.290,83599278.000
2019-04-15,1721.640,1666.900,1726.200,1666.650,89210623.000
2019-04-16,1656.760,1697.530,1697.530,1638.300,95438650.000
